Model,Period,RMSE,MAE
RandomForest,Pre-COVID (Jan–Feb 2020),375938.54420449084,375697.0000000007
XGBoost,Pre-COVID (Jan–Feb 2020),371854.9449694004,370349.5625000007
RandomForest,COVID (Mar 2020–Dec 2021),600315.3633715583,567281.1173503144
XGBoost,COVID (Mar 2020–Dec 2021),617760.4785202363,591032.8522727273
RandomForest,Recovery (2022–2023),260862.47049094347,230380.93726794352
XGBoost,Recovery (2022–2023),271402.73590893217,239834.49869791663
