Model,Period,RMSE,MAE
"SARIMA(0,1,1)(0,1,1)[12]",Pre-COVID (Jan–Feb 2020),563325.2136398836,426529.0073356704
"SARIMA(0,1,1)(0,1,1)[12]",COVID (Mar 2020–Dec 2021),2043633.0872792015,2024280.4472642406
"SARIMA(0,1,1)(0,1,1)[12]",Recovery (2022–2023),2210836.377694586,2193789.51415587
