Model,Period,RMSE,MAE
"ARIMAX(0,1,1)(0,1,1)[12]+search",Pre-COVID (Jan–Feb 2020),685460.6186975176,492294.0419258402
"ARIMAX(0,1,1)(0,1,1)[12]+search",COVID (Mar 2020–Dec 2021),1714559.5253999464,1704844.9581928512
"ARIMAX(0,1,1)(0,1,1)[12]+search",Recovery (2022–2023),2149057.754384868,2131934.1434401167
