Model,Static_RMSE,Rolling_RMSE,Improvement%
SARIMA,9.397471444747255,2.6688469334877682,71.6003719811298
ARIMAX,9.277924205027317,2.2367123564478875,75.89210358890509
RF,8.430944795790214,3.2854592892609604,61.03094767147006
XGBoost,8.46476902483805,2.942351367844362,65.24002770529637
