Model,Overall_RMSE,Overall_MAE,COVID_RMSE,Recovery_RMSE
SARIMA,9.397471444747255,7.040962424080834,13.68851423571878,2.203161087390547
ARIMAX,9.277924205027317,6.954388920346408,13.512764871420451,2.1834194830920644
RF,8.430944795790213,5.834176454199067,12.40170719242416,1.082318776304563
XGBoost,8.46476902483805,5.86415241396812,12.449628023076883,1.105788962228676
