date,arrivals,search_trends,log_arrivals,log_search_trends,time_idx,diff_1,covid_dummy,lag_1,lag_3,lag_6,lag_12,lag_24,roll_mean_3,roll_mean_6,roll_mean_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2010-01-01,416249,93,12.939041320276791,4.543294782270004,0,,0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False
2010-02-01,446323,75,13.008800424658851,4.330733340286331,1,0.06975910438205979,0,12.939041320276791,,,,,12.939041320276791,12.939041320276791,12.939041320276791,True,False,False,False,False,False,False,False,False,False,False
2010-03-01,473509,88,13.067928310709442,4.48863636973214,2,0.05912788605059127,0,13.008800424658851,,,,,12.973920872467822,12.973920872467822,12.973920872467822,False,True,False,False,False,False,False,False,False,False,False
2010-04-01,432608,84,12.977589596722966,4.442651256490317,3,-0.0903387139864762,0,13.067928310709442,12.939041320276791,,,,13.005256685215029,13.005256685215029,13.005256685215029,False,False,True,False,False,False,False,False,False,False,False
2010-05-01,350982,85,12.768493068226652,4.454347296253507,4,-0.209096528496314,0,12.977589596722966,13.008800424658851,,,,13.018106110697085,12.998339913092012,12.998339913092012,False,False,False,True,False,False,False,False,False,False,False
2010-06-01,375707,68,12.836567524920662,4.23410650459726,5,0.06807445669400991,0,12.768493068226652,13.067928310709442,,,,12.93800365855302,12.95237054411894,12.95237054411894,False,False,False,False,True,False,False,False,False,False,False
2010-07-01,410000,80,12.923914877701906,4.394449154672439,6,0.08734735278124361,0,12.836567524920662,12.977589596722966,12.939041320276791,,,12.860883396623427,12.933070040919228,12.933070040919228,False,False,False,False,False,True,False,False,False,False,False
2010-08-01,427935,84,12.966728930672524,4.442651256490317,7,0.04281405297061802,0,12.923914877701906,12.768493068226652,13.008800424658851,,,12.842991823616407,12.930548967156748,12.931762160459611,False,False,False,False,False,False,True,False,False,False,False
2010-09-01,383463,77,12.857001023153709,4.356708826689592,8,-0.10972790751881512,0,12.966728930672524,12.836567524920662,13.067928310709442,,,12.909070444431697,12.923537051492358,12.936133006736224,False,False,False,False,False,False,False,True,False,False,False
2010-10-01,440071,79,12.994693628871111,4.382026634673881,9,0.13769260571740283,0,12.857001023153709,12.923914877701906,12.977589596722966,,,12.91588161050938,12.888382503566405,12.927340564115944,False,False,False,False,False,False,False,False,True,False,False
2010-11-01,428295,72,12.96756982431166,4.290459441148391,10,-0.027123804559451514,0,12.994693628871111,12.966728930672524,12.768493068226652,,,12.93947452756578,12.891233175591092,12.934075870591462,False,False,False,False,False,False,False,False,False,True,False
2010-12-01,449570,67,13.01604907370193,4.219507705176107,11,0.048479249390270596,0,12.96756982431166,12.857001023153709,12.836567524920662,,,12.939754825445492,12.924412634938596,12.937120775475115,False,False,False,False,False,False,False,False,False,False,True
2011-01-01,506424,85,13.135131516682007,4.454347296253507,12,0.11908244298007631,0,13.01604907370193,12.994693628871111,12.923914877701906,12.939041320276791,,12.992770842294902,12.95432622640214,12.943698133660684,False,False,False,False,False,False,False,False,False,False,False
2011-02-01,529315,70,13.179340885993021,4.2626798770413155,13,0.04420936931101416,0,13.135131516682007,12.96756982431166,12.966728930672524,13.008800424658851,,13.0395834715652,12.989528999565488,12.960038983361118,True,False,False,False,False,False,False,False,False,False,False
2011-03-01,475733,69,13.072614153484082,4.248495242049359,14,-0.10672673250893894,0,13.179340885993021,13.01604907370193,12.857001023153709,13.067928310709442,,13.110173825458986,13.02496432545224,12.974250688472301,False,True,False,False,False,False,False,False,False,False,False
2011-04-01,460000,67,13.038983942375959,4.219507705176107,15,-0.033630211108123476,0,13.072614153484082,13.135131516682007,12.994693628871111,12.977589596722966,,13.129028852053038,13.06089984717397,12.974641175370186,False,False,True,False,False,False,False,False,False,False,False
2011-05-01,480886,67,13.083387594253246,4.219507705176107,16,0.04440365187728723,0,13.038983942375959,13.179340885993021,12.96756982431166,12.768493068226652,,13.096979660617686,13.068281566091443,12.97975737084127,False,False,False,True,False,False,False,False,False,False,False
2011-06-01,446966,64,13.010240045367114,4.174387269895637,17,-0.07314754888613173,0,13.083387594253246,13.072614153484082,13.01604907370193,12.836567524920662,,13.064995230037761,13.087584527748374,13.005998581343485,False,False,False,False,True,False,False,False,False,False,False
2011-07-01,460000,68,13.038983942375959,4.23410650459726,18,0.0287438970088445,0,13.010240045367114,13.038983942375959,13.135131516682007,12.923914877701906,,13.044203860665439,13.086616356359238,13.020471291380689,False,False,False,False,False,True,False,False,False,False,False
2011-08-01,552234,70,13.221728959301892,4.2626798770413155,19,0.18274501692593326,0,13.038983942375959,13.083387594253246,13.179340885993021,12.966728930672524,,13.044203860665439,13.070591760641564,13.030060380103528,False,False,False,False,False,False,True,False,False,False,False
2011-09-01,286618,66,12.565909086665917,4.204692619390966,20,-0.6558198726359752,0,13.221728959301892,13.010240045367114,13.072614153484082,12.857001023153709,,13.090317649014986,13.077656439526374,13.051310382489307,False,False,False,False,False,False,False,True,False,False,False
